edad,Mujeres,Varones
0-4,1404211,1442339
5-9,1773600,1825647
10-14,1788414,1845146
15-19,1768387,1800681
20-24,1779791,1757472
25-29,1824075,1755496
30-34,1787492,1706782
35-39,1692147,1616211
40-44,1713874,1617796
45-49,1488369,1386629
50-54,1281024,1177301
55-59,1158048,1044857
60-64,1057693,929041
65-69,946014,796143
70-74,799212,627993
75-79,611035,424945
80-84,416290,246155
85-89,251111,120259
90-94,123092,47507
95-99,35500,12508
100 y más,4884,1409
